classifier;balancing;embedding;accuracy;precision;recall;f1;tp;tn;fp;fn;auroc_art;auroc_gaming;auroc_memberships;auroc_music;auroc_pfps;auroc_photography;auroc_virtual-worlds;cm_path
DTree;oversampling;clean_all-MiniLM-L6-v2;0,3490427098674521;0,35210138110160416;0,34895253083239525;0,35022268188644495;237;3632;442;442;0,5842400690846288;0,5736525379382522;0,6396759053067936;0,6914438988907073;0,5574611398963731;0,6762970248340301;0,6217105263157895;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/DTree_oversampling_clean_all-MiniLM-L6-v2_confusion_matrix.png
DTree;smote;clean_all-MiniLM-L6-v2;0,3328424153166421;0,33742275173271885;0,3333386746157048;0,3351140648414129;226;3621;453;453;0,5703886010362694;0,5618131868131868;0,571139812943232;0,6964175304600837;0,5600518134715026;0,6831817064175068;0,638013698630137;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/DTree_smote_clean_all-MiniLM-L6-v2_confusion_matrix.png
RF;unbalanced;clean_all-MiniLM-L6-v2;0,5861561119293078;0,5894755532625408;0,5875241946771209;0,5866812662508246;398;3793;281;281;0,8045682210708116;0,8840453763923152;0,8725718592620507;0,9372885979268958;0,7895768566493955;0,916031472830096;0,859003244412401;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/RF_unbalanced_clean_all-MiniLM-L6-v2_confusion_matrix.png
RF;undersampling;clean_all-MiniLM-L6-v2;0,5699558173784978;0,5694534485258729;0,5714971223641474;0,5682129754765807;387;3782;292;292;0,7996977547495683;0,858264184794797;0,8589965397923874;0,9149845426441171;0,7583765112262522;0,9320928026976711;0,8545692141312184;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/RF_undersampling_clean_all-MiniLM-L6-v2_confusion_matrix.png
RF;oversampling;clean_all-MiniLM-L6-v2;0,5920471281296024;0,5961248823972849;0,5923819959016546;0,5904965289625916;402;3797;277;277;0,812685664939551;0,8506485011587053;0,881453629792045;0,9329605382796873;0,7909671848013816;0,9202202395588184;0,8568042537851479;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/RF_oversampling_clean_all-MiniLM-L6-v2_confusion_matrix.png
RF;smote;clean_all-MiniLM-L6-v2;0,6008836524300442;0,6070673675714308;0,6019612017772945;0,6029267856461716;408;3803;271;271;0,8063039723661486;0,8870542722583539;0,8502004179656719;0,9411438443353337;0,8247495682210708;0,9225122062594401;0,8478640951694305;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/RF_smote_clean_all-MiniLM-L6-v2_confusion_matrix.png
LogReg;unbalanced;clean_all-MiniLM-L6-v2;0,5832106038291606;0,593820806879526;0,5845006927868647;0,5881287839301612;396;3791;283;283;0,8289032815198619;0,879083501532481;0,8584569529617322;0,9476904891798509;0,8194818652849741;0,9340510730970529;0,8740086517664022;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/LogReg_unbalanced_clean_all-MiniLM-L6-v2_confusion_matrix.png
LogReg;undersampling;clean_all-MiniLM-L6-v2;0,6067746686303387;0,6151044049334349;0,6078851584937015;0,6108601510623529;412;3807;267;267;0,8363989637305699;0,8746355685131195;0,8696769330912331;0,9526004728132387;0,8202763385146805;0,9466261547648319;0,8709084354722423;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/LogReg_undersampling_clean_all-MiniLM-L6-v2_confusion_matrix.png
LogReg;oversampling;clean_all-MiniLM-L6-v2;0,5802650957290133;0,5912595163575572;0,5815073182614422;0,585433291390916;394;3789;285;285;0,8287823834196892;0,8777192195559542;0,8578745417794376;0,9477814148026914;0,8195509499136442;0,933822754575152;0,873720259552992;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/LogReg_oversampling_clean_all-MiniLM-L6-v2_confusion_matrix.png
LogReg;smote;clean_all-MiniLM-L6-v2;0,5832106038291606;0,5936530134669509;0,5844255048169398;0,588057994913265;396;3791;283;283;0,8289205526770294;0,8787097256485012;0,858285655555175;0,9481633024186216;0,8187564766839379;0,9337525027222593;0,8742609949531364;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/LogReg_smote_clean_all-MiniLM-L6-v2_confusion_matrix.png
kNN;unbalanced;clean_lemmatization_all-MiniLM-L6-v2;0,5537555228276878;0,5730739769415637;0,5554262795205358;0,5557741186619733;376;3771;303;303;0,7858549222797928;0,7997776033490318;0,8061598547397992;0,9370612838697944;0,7664680483592401;0,8965980540236748;0,8961157173756309;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/kNN_unbalanced_clean_lemmatization_all-MiniLM-L6-v2_confusion_matrix.png
kNN;undersampling;clean_lemmatization_all-MiniLM-L6-v2;0,5508100147275405;0,5723973628897069;0,5528695773567349;0,5517353423004993;374;3769;305;305;0,7888946459412781;0,8060570381998953;0,8082582479701257;0,9366612111292961;0,7744818652849741;0,8912237872773895;0,8947188175919251;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/kNN_undersampling_clean_lemmatization_all-MiniLM-L6-v2_confusion_matrix.png
kNN;oversampling;clean_lemmatization_all-MiniLM-L6-v2;0,5449189985272459;0,5618626967743325;0,5465864206523885;0,5456382376762813;370;3765;309;309;0,7797582037996547;0,7955165582716602;0,7999588886224261;0,9359974540825604;0,7694214162348878;0,8912852576486705;0,893565248738284;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/kNN_oversampling_clean_lemmatization_all-MiniLM-L6-v2_confusion_matrix.png
kNN;smote;clean_lemmatization_all-MiniLM-L6-v2;0,5390279823269514;0,5546985045233715;0,5426780721783614;0,5349505624858757;366;3761;313;313;0,7493091537132988;0,8072344322344323;0,7927643975470211;0,9294326241134752;0,7557858376511226;0,902437739295374;0,8786770007209805;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/kNN_smote_clean_lemmatization_all-MiniLM-L6-v2_confusion_matrix.png
