classifier;balancing;embedding;accuracy;precision;recall;f1;tp;tn;fp;fn;auroc_art;auroc_gaming;auroc_memberships;auroc_music;auroc_pfps;auroc_photography;auroc_virtual-worlds;cm_path
kNN;unbalanced;clean_all-MiniLM-L6-v2;0,5699558173784978;0,6014351779438643;0,57151377159265;0,5741367231348827;387;3782;292;292;0,7806303972366149;0,7898818868206623;0,8237264037822467;0,9358792507728677;0,7678497409326424;0,9095068319926938;0,8735400144196106;C:/Users/samue/Downloads/NFT25/final_novo/emb_extra/confusion_matrices/kNN_unbalanced_clean_all-MiniLM-L6-v2_confusion_matrix.png
kNN;undersampling;clean_all-MiniLM-L6-v2;0,5817378497790869;0,6108972613219927;0,5838000213576037;0,583588843879653;395;3790;284;284;0,7824438687392055;0,7927319279360096;0,8199150364863477;0,9313693398799783;0,7671070811744386;0,9059239874951701;0,8720079307858688;C:/Users/samue/Downloads/NFT25/final_novo/emb_extra/confusion_matrices/kNN_undersampling_clean_all-MiniLM-L6-v2_confusion_matrix.png
kNN;oversampling;clean_all-MiniLM-L6-v2;0,5655375552282769;0,593216521649054;0,567176102264286;0,5680368486032856;384;3779;295;295;0,7725647668393782;0,7898538536293638;0,8258933159751962;0,9354064375340971;0,7640241796200345;0,9092258245811232;0,8703947368421053;C:/Users/samue/Downloads/NFT25/final_novo/emb_extra/confusion_matrices/kNN_oversampling_clean_all-MiniLM-L6-v2_confusion_matrix.png
kNN;smote;clean_all-MiniLM-L6-v2;0,5625920471281296;0,5749429954018639;0,5658722567396506;0,5584852153979052;382;3777;297;297;0,7633937823834196;0,8337257980115123;0,8064596252012743;0,9367885070012729;0,7445077720207255;0,8994783799922723;0,8801189617880317;C:/Users/samue/Downloads/NFT25/final_novo/emb_extra/confusion_matrices/kNN_smote_clean_all-MiniLM-L6-v2_confusion_matrix.png
SVM;unbalanced;clean_all-MiniLM-L6-v2;0,6671575846833578;0,693907611823049;0,6666381431320338;0,6739801817377675;453;3848;226;226;0,8577720207253885;0,9129289078268671;0,8850594402000753;0,9578650663757047;0,90860103626943;0,961712740173522;0,8969358327325162;C:/Users/samue/Downloads/NFT25/final_novo/emb_extra/confusion_matrices/SVM_unbalanced_clean_all-MiniLM-L6-v2_confusion_matrix.png
SVM;undersampling;clean_all-MiniLM-L6-v2;0,6627393225331369;0,6882963674746897;0,662757679815108;0,6704585970993673;450;3845;229;229;0,859706390328152;0,9100882111086193;0,889907156805646;0,9606837606837608;0,909188255613126;0,962819206856581;0,8966654650324443;C:/Users/samue/Downloads/NFT25/final_novo/emb_extra/confusion_matrices/SVM_undersampling_clean_all-MiniLM-L6-v2_confusion_matrix.png
SVM;oversampling;clean_all-MiniLM-L6-v2;0,6627393225331369;0,6862040382092246;0,662410859101439;0,6691083062931572;450;3845;229;229;0,8591364421416235;0,9137885923600209;0,8812223782931926;0,9581923986179305;0,9100518134715027;0,9610629105342653;0,8961247296322998;C:/Users/samue/Downloads/NFT25/final_novo/emb_extra/confusion_matrices/SVM_oversampling_clean_all-MiniLM-L6-v2_confusion_matrix.png
SVM;smote;clean_all-MiniLM-L6-v2;0,6656848306332842;0,6898262803126803;0,6651485280051075;0,6718694950369593;452;3847;227;227;0,8581001727115718;0,9145735217163788;0,8810682106272912;0,9583378796144754;0,9092227979274611;0,9608697179388106;0,8936914203316509;C:/Users/samue/Downloads/NFT25/final_novo/emb_extra/confusion_matrices/SVM_smote_clean_all-MiniLM-L6-v2_confusion_matrix.png
DTree;unbalanced;clean_all-MiniLM-L6-v2;0,5478645066273933;0,549552181346343;0,5475316798590246;0,5482163320876875;372;3767;307;307;0,6949136442141624;0,6624803767660911;0,6885556202679092;0,8509729041643936;0,7645941278065631;0,8143594787312516;0,676658255227109;C:/Users/samue/Downloads/NFT25/final_novo/emb_extra/confusion_matrices/DTree_unbalanced_clean_all-MiniLM-L6-v2_confusion_matrix.png
DTree;undersampling;clean_all-MiniLM-L6-v2;0,5301914580265096;0,5318173820515292;0,5296690885800657;0,5302442614658064;360;3755;319;319;0,6799136442141623;0,6696755625327054;0,6747147898180821;0,8226677577741407;0,7730483592400691;0,8015121711335137;0,6580479452054793;C:/Users/samue/Downloads/NFT25/final_novo/emb_extra/confusion_matrices/DTree_undersampling_clean_all-MiniLM-L6-v2_confusion_matrix.png
